################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.8422829010719703E+01 a       425     0    29     1     5
  9.7755777997132931E+00 a       426     0    29     1     6
  2.5597561874658927E+00 a       427     0    29     1     7
 -2.7715480492698319E+00 a       428     0    29     1     8
  7.0069016855609947E+00 a       429     0    29     1     9
  1.5404265504415484E+01 a       430     0    29     1    10
  2.7859496582608148E+01 a       431     0    29     1    11
  2.6159909748217429E+00 a       432     0    29     1    12
  1.7420019121280408E+01 a       433     0    29     1    13
 -4.8233322729354562E+00 a       434     0    29     1    14
  1.8247661381994227E+01 a       435     0    29     1    15
  2.2460058353955970E+00 a       436     0    30     1     1
  1.1295799502414312E+01 a       437     0    30     1     2
 -2.0336770267278435E+00 a       438     0    30     1     3
 -3.0931134076625368E+00 a       439     0    30     1     4
 -2.9111970303792379E+01 a       440     0    30     1     5
 -1.0240982416388157E+01 a       441     0    30     1     6
  1.3488912574260223E+00 a       442     0    30     1     7
  6.7481861174264433E+00 a       443     0    30     1     8
 -3.7552585307680548E+00 a       444     0    30     1     9
 -5.8784896598659691E+00 a       445     0    30     1    10
  1.8017830493258025E+01 a       446     0    30     1    11
 -5.5985065026195757E+00 a       447     0    30     1    12
  8.0923084997266717E+00 a       448     0    30     1    13
  5.8109908528854861E+00 a       449     0    30     1    14
 -1.2773370562414955E+01 a       450     0    30     1    15
 -4.8295957607557645E+00 a       451     0    31     1     1
 -4.5262072088890184E+00 a       452     0    31     1     2
  5.9829669824580023E+00 a       453     0    31     1     3
  7.3349840171814478E+00 a       454     0    31     1     4
 -2.4892929329775445E+01 a       455     0    31     1     5
  1.0031258081493908E+01 a       456     0    31     1     6
  9.9876486757139968E+00 a       457     0    31     1     7
 -3.3094575611632289E+00 a       458     0    31     1     8
  3.7899386001505468E+00 a       459     0    31     1     9
  6.8087405379559769E+00 a       460     0    31     1    10
  3.7396317388880105E+00 a       461     0    31     1    11
  1.0835391379143781E+01 a       462     0    31     1    12
  5.1102451488199572E+00 a       463     0    31     1    13
 -5.1123648094477625E+00 a       464     0    31     1    14
 -2.1611176189567189E+01 a       465     0    31     1    15
 -4.1190868897515784E+00 a       466     0    32     1     1
  1.0749772506050427E+01 a       467     0    32     1     2
  4.7551392116016249E+00 a       468     0    32     1     3
  8.2011019607926805E+00 a       469     0    32     1     4
 -1.6789918262419416E+01 a       470     0    32     1     5
  9.8899511419897266E+00 a       471     0    32     1     6
 -1.1054527947106177E+01 a       472     0    32     1     7
 -6.6624953529761131E+00 a       473     0    32     1     8
 -5.7808813608730665E+00 a       474     0    32     1     9
